PCCDB-ID,SMILES
12186,CC[C@@H](CC(C)C)O
12187,CCC(=O)CC(C)C
12189,C/C=C/C(=O)OC(=O)/C=C/C
12190,COCC(COC)O
12191,CCOC(=O)/C=C/C
12192,CCOC(=O)[CH][N][N]
12194,CCN/C(=NCC)/O
12195,CCO/C(=N/CC)/O
12196,CCSC(=O)SCC
12197,CCOS(=O)OCC
12198,CC(=O)OC[C@@H](OC(=O)C)C
12199,CCC/N=C(/OCC)O
12201,CCOC(=O)/C=C/C(=O)OCC
12202,CCCCC(CCCC)O
12203,CCCCCCC(=O)CCC
12206,CCCCC(=O)OC
12209,CC[C@H](COC(=O)C)C
12210,CCC(=O)CCC(C)C
12211,OC[C@@H](CON(=O)=O)O
12212,CC(CC/C(=N/O)/C)C
12213,C/C(=NNC(=N)O)/CC
12214,OC[C@H]([C@H](OC(=O)CC)O)O
12215,COC(=O)/C=C/C(=O)OC
12216,CCCCCC[C@@H](CC)O
12217,CCCCCOC(=O)CC
12219,CNCC
12220,C/C=C/C
12226,CC[N]#[C]
12227,ONC=N
12228,CN=C=O
12230,CSCC
12231,CO[N][O]
12232,CSSC
12233,OCCC(C)(C)C
12235,CC(CC(O)(C)C)C
12238,CCC(OC(=O)C)(C)C
12239,CCCCOS(=O)(=O)OCCCC
12240,CCCCC(O)(C)C
12242,CCCCCC(O)(C)C
12243,CCC=C(C)C
12244,CC(CC#N)C
12246,CCC[C@H](N)C
12247,C[C@H](CC=C)O
12248,C/C=C/C(=O)C
12249,CNCC(C)C
12250,COCC(C)C
12251,COCC(=O)O
12252,OCCN(=O)=O
12253,CC/N=C(/O)C
12254,CCNC(=N)O
12256,CCOC(C)C
12257,O=COC(C)C
12259,CCON(=O)=O
12260,CC(C=C(C)C)C
12262,C[C@H](C[C@@H](O)C)O
12263,C/C(=NC(=O)C)/O
12264,CC(SC(C)C)C
12265,Cc1ccc([nH]1)C
12266,Cc1ccc(o1)C
12276,N#Cc1cccc(c1)C#N
12277,CC[C@H](N[C@H](CC)C)C
12278,CCC[C@H](OC(=O)C)C
12283,CC1=CC(=[N]=[C](=N1)O)O
12284,CC(CC(=O)O)CC(=O)O
12285,O=C(CC(=O)C)CC(=O)C
12290,O=c1cc[nH]cc1
12291,CN1CCCCC1
12292,OC(=O)CC[C@@H](CC(=O)O)C
12293,CCCCCC(=O)OCCC
12294,CCCCCC(=O)OCCCC
12295,CCOC(=O)CCCCC(=O)O
12296,OCCCC(C)C
12297,CCCC[C@H](O)C
12298,CCCCC(=N)O
12299,CC/C=C/C(=O)O
12301,CCOCC(=O)O
12302,CCCCN(=O)=O
12303,CCCNC(=N)O
12304,CCCOC(C)C
12306,CCCOC(=N)O
12307,CCCON(=O)=O
12309,CCCC#C
12310,CCC#CC
12315,CCCNC
12319,CC/N=C/O
12320,CCSC=C
12322,CC(=C)CCC(=C)C
12323,CC(CC[C@H](O)C)C
12327,CCCCCCCCCCC(=O)OCC
12328,COC(=O)CCCCC(=O)O
12329,COC(=O)CCCCC(=O)OC
12330,CCCCC=C(C)C
12331,OCCCCC(C)C
12332,CCCCCC(=N)O
12333,CCC(N(=O)=O)CC
12338,CCCCOC
12339,CCCCSC
12340,CCOCCC
12342,O[CH][N][N][CH]O
12343,C1=CCC=CC1
12344,CC(CCCC(=O)O)C
12345,CC(=O)OCOC(=O)C
12346,CC(COCC(C)C)C
12348,CCCCCOC(=O)C
12349,CCOCCOC(=N)O
12350,CCCCCC#C
12352,CCCCCC#N
12355,CCCCOCC
12356,COCCOC=O
12357,CCCCSC#N
12362,COCOCOC
12363,C1CCC=CCC1
12364,OC(=N)CCCCC(=N)O
12365,O=N(=O)OCON(=O)=O
12367,CCCCCCC[C@H](O)C
12370,CCCCCCC#C
12372,CCCCCCC#N
12374,OCCCCCCO
12375,CCOCCOCC
12376,O=COCCOC=O
12377,CCCSSCCC
12378,C1=CC=CC=CC=C1
12381,OCCCCCCCO
12384,COCCOCCOC(=O)C
12385,N#CCCCCCCC#N
12387,CCCCCCCCO[N][O]
12389,CCCCCCCCCCCCCC
